इस शीट में दिनांक 26 March 2024 को ईटीएफ की लिस्ट अपडेट कर दी है। कहीं कहीं यदि गूगल फायनेंस की गणना में त्रुटि से #N/A लिखा आ रहा हो तो भी फार्मुले में IFNA जोड़ दिया है जिससे फार्मुला #N/A वाले ईटीएफ को ईगनोर करके बाकी की रेंक निकाल लेगा इसलिये कहीं कहीं #N/A लिखा दिखे तो घबरायें नहीं आप रेंक के कॉलम में देखेंगें तो रेंक सही दिखेगी। NA का कारण आईसीआईसीआई के कोड चेंज होना है उनमें गूगल फायनेंस 20 डीएमए की गणना नहीं कर पा रहा है परन्तु 20 दिनों के बाद हो सकता है ये प्रोब्लम स्वतः ठीक हो जाये I,,,,,,,,
ETF NSE Code,Underlying Asset,CMP,20 DMA,CMP-20 DMA,% Change 20 DMA Vs CMP,Today Buy,,
NSE:SILVRETF,Mirae Asset Silver ETF,#N/A,#N/A,#N/A,#N/A,,,
NSE:SMALLCAP,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF,45.63,44.90,0.73,1.6179,,,
NSE:TATAGOLD,Tata Gold Exchange Traded Fund,15.18,14.88,0.30,1.9887,,,
NSE:TATSILV,Tata Silver Exchange Traded Fund,25.44,24.88,0.56,2.2549,,,
NSE:TECH,Nifty IT TRI Index,31.59,31.42,0.17,0.5267,,,
NSE:TNIDETF,Nifty India Digital Index,82.18,80.69,1.49,1.8510,,,
NSE:UTIBANKETF,Nifty Bank,#N/A,#N/A,#N/A,#N/A,,,
NSE:UTINEXT50,Nifty Next 50,#N/A,#N/A,#N/A,#N/A,,,
NSE:UTINIFTETF,Nifty 50,#N/A,#N/A,#N/A,#N/A,,,
NSE:UTISENSETF,SENSEX,#N/A,#N/A,#N/A,#N/A,,,
