NSE Code,Strategy,Total Traded Value,CMP,Change %,Return Z-Score,Vol Spike (x),RSI,Tech Score,Action,Target,Stop Loss,Diff %
DIVISLAB,DMADMA (Reverse) | DMADMA (No SL),0.0,6667.0,0.0,0.0168871745539727,0.0,49.5805355469326,60,150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,7004.77 | 7085.69,6375.45,
DMART,Nifty Shop (Single Leg) | RDX Indicator | ETF Shop Method,0.0,4054.5,0.0,0.465732356069798,0.0,31.577305374327945,15,Level 1 Buy | Explosive Sell | Buy,4309.12 | 4259.26,3900.93,-4.695530576649181
DRREDDY,DMADMA (No SL),0.0,1303.5,0.0,0.0189961224843438,0.0,48.87476495409236,55,50 DMA Breakout | CMP > 200 DMA,1385.36,,
EMMVEE,RDX Indicator,0.0,325.3,3.752545871332041e-06,-0.3601072567437376,0.0,76.82212427909381,68,Explosive Buy,353.89,303.86,
ENRIN,RDX Indicator | DMADMA (No SL),0.0,3872.1,-2.522048697812848e-06,-0.2583939080488898,0.0,74.76675012988872,85,Explosive Buy | 50 DMA Breakout | CMP > 200 DMA,4184.32 | 4115.27,3637.93,
EXIDEIND,RDX Indicator,0.0,386.5,0.0,-0.1967862866077379,0.0,68.93252659225737,95,Explosive Buy,415.19,364.98,
FCL,RDX Indicator | DMADMA (Reverse) | DMADMA (No SL),0.0,39.99,-4.197216115120283e-06,-0.434889401155894,0.0,77.4626256057087,85,Explosive Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,44.52 | 42.5,36.6 | 24.69,
FEDERALBNK,DMADMA (Reverse) | DMADMA (No SL),0.0,288.95,-4.224616973756141e-06,0.0563890470601064,0.0,52.29278947358294,95,150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,303.02 | 307.1,273.84,
GAIL,Super BO Stocks,0.0,164.51,3.339106581258073e-06,0.0110476688284507,0.0,52.80605894622568,80,Super BO Buy,164.9,154.88,
GLAND,RDX Indicator | DMADMA (No SL),0.0,2250.0,0.0,-0.3287305251709222,0.0,67.99710467586112,100,Explosive Buy | 50 DMA Breakout | CMP > 200 DMA,2426.31 | 2391.3,2117.77,
GMDCLTD,DMADMA (Reverse) | DMADMA (No SL),0.0,670.0,0.0,0.1840277588812672,0.0,51.15257597585966,70,150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,729.01 | 712.08,588.22,
GOODLUCK,ETF Shop Method | DMADMA (No SL),0.0,1295.4,-1.8846736103848337e-06,-0.0629015785308765,0.0,47.95603230376572,55,Buy | 50 DMA Breakout | CMP > 200 DMA,1376.75,,-4.735990928927998
GRASIM,RDX Indicator | DMADMA (No SL),0.0,3122.4,3.127602265733044e-06,-0.2154048095102084,0.0,67.26556884706096,80,Explosive Buy | 50 DMA Breakout | CMP > 200 DMA,3254.68 | 3318.49,3023.19,
GROWW,ETF Shop Method,0.0,184.89,3.301160424427757e-07,0.311303779175585,0.0,41.208444575895705,30,Buy,,,-4.645742130755847
