NSE Code,Strategy,Total Traded Value,CMP,Change %,Return Z-Score,Vol Spike (x),RSI,Tech Score,Action,Target,Stop Loss,Diff %
BSE,RDX Indicator | DMADMA (Reverse) | DMADMA (No SL),16655710482.820312,4403.2998046875,0.0,-0.5938073156841637,0.9174636100004948,82.06916186337946,85,Explosive Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,4624.42 | 4679.83,4237.46 | 2998.03,
HFCL,RDX Indicator | DMADMA (Reverse) | DMADMA (No SL),11900213700.653458,161.8000030517578,0.0,-0.4878354080249859,0.8199016233996982,76.37891666989324,65,Explosive Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,177.04 | 171.96,150.37 | 81.85,
ITC,ETF Shop Method,11029652929.048643,293.6499938964844,-0.7567072836789044,-0.570554519117937,2.0273229697945463,42.99372366851669,30,Buy,,,-2.143503981726698
PINELABS,Nifty Shop (Single Leg) | RDX Indicator | ETF Shop Method,10441621328.82672,137.94000244140625,-5.649791162280357,-1.042102802853551,5.801514927060219,24.17757666129776,5,Level 3 Buy | Explosive Sell | Buy,146.6 | 158.42,122.58,-20.11027142391845
MARKSANS,RDX Indicator | DMADMA (Reverse) | DMADMA (No SL),9696570801.389618,254.7899932861328,15.676927104538365,3.44628956822902,9.35484751128886,81.53571724220986,83,Explosive Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,277.12 | 270.79,238.05 | 182.52,
MTARTECH,RDX Indicator | DMADMA (Reverse) | DMADMA (No SL),8920606032.0,7878.0,-0.9181235064771728,-0.5272523637681216,0.5628185581847677,69.68928146372858,100,Explosive Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,8819.69 | 8372.74,7171.73 | 3647.77,
SPARC,RDX Indicator | DMADMA (No SL),8813172440.134521,235.57000732421875,1.1073444226045932,-0.2479721304356782,2.96231457338687,82.92397525147501,83,Explosive Buy | 50 DMA Breakout | CMP > 200 DMA,262.55 | 250.36,215.34,
AGIIL,100 SMA Breakout | DMADMA (Reverse) | DMADMA (No SL),8166088291.4,2276.2,525.1579131676432,1.7294518335769031,0.9461160159252272,51.57940714063575,70,Breakout Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,5430.92 | 4379.35 | 2419.15,1727.48 | 1239.99,
AMBER,ETF Shop Method,8166088291.4,2276.2,-68.8703501094092,-0.9583931353085524,1.0856989443221272,48.01782316091093,50,Buy,,,-36.41260014973574
ACUTAAS,ETF Shop Method,8166088291.4,2276.2,-24.996706096701672,-1.4505297875878955,1.100000680678881,47.362180612056505,50,Buy,,,-8.33712552755336
ABB,ETF Shop Method,8166088291.4,2276.2,-66.54614932392711,-0.9967385165734336,1.1090482598382672,48.02729470226677,50,Buy,,,-33.37167930473779
ASHOKLEY,100 SMA Breakout | DMADMA (Reverse) | DMADMA (No SL),8166088291.4,2276.2,1317.8398500011735,1.612312711545994,0.3893291641060262,51.60774088347912,70,Breakout Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,5773.16 | 4607.5 | 2419.15,1695.94 | 1182.66,
ASIANPAINT,ETF Shop Method,8166088291.4,2276.2,-14.00831129580658,-1.514874857117406,1.06627082612103,46.66743652795141,45,Buy,,,-5.18954225790436
ATGL,100 SMA Breakout | DMADMA (Reverse) | DMADMA (No SL),8166088291.4,2276.2,219.19787938987093,1.362197085592156,0.6233651063131955,51.52704615240744,90,Breakout Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,5000.64 | 4092.49 | 2419.15,1822.39 | 1415.14,
ASTRAMICRO,100 SMA Breakout | DMADMA (Reverse),8166088291.4,2276.2,67.73765659543109,1.113002134660325,0.9297568452906096,51.345749709732,80,Breakout Buy | 150 DMA Breakout | CMP > 200 DMA,4131.97 | 3513.38,1966.67 | 1635.5,
AUBANK,100 SMA Breakout | DMADMA (Reverse),8166088291.4,2276.2,124.96541089756847,1.455135018150166,1.0016954790705612,51.43670895687733,80,Breakout Buy | 150 DMA Breakout | CMP > 200 DMA,4479.73 | 3745.22,1968.69 | 1624.9,
AUROPHARMA,100 SMA Breakout | DMADMA (Reverse),8166088291.4,2276.2,55.77607966483292,1.5235153266557098,1.0025102737409182,51.18964016476129,60,Breakout Buy | 150 DMA Breakout | CMP > 200 DMA,3706.56 | 3229.78,2047.2 | 1759.05,
AVALON,100 SMA Breakout | DMADMA (Reverse),8166088291.4,2276.2,55.76540915230761,1.4833804121329237,1.0188309660294022,51.204688133015686,80,Breakout Buy | 150 DMA Breakout | CMP > 200 DMA,3763.44 | 3267.7,1974.33 | 1641.71,
ATHERENERG,100 SMA Breakout | DMADMA (Reverse) | DMADMA (No SL),8166088291.4,2276.2,139.4487753481142,1.4247205050254506,0.8407713612636628,51.46604254491468,90,Breakout Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,4602.91 | 3827.34 | 2419.15,1868.79 | 1474.74,
AXISBANK,100 SMA Breakout | DMADMA (Reverse),8166088291.4,2276.2,75.18663237586793,1.426344202078845,0.8089843884327944,51.30881886916598,80,Breakout Buy | 150 DMA Breakout | CMP > 200 DMA,4015.7 | 3435.87,2076.58 | 1802.01,
BAJAJ-AUTO,ETF Shop Method,8166088291.4,2276.2,-78.51222505428113,-0.8555241246258517,1.103018072543176,48.05492225407289,45,Buy,,,-48.05378562430395
BAJAJFINSV,DMADMA (Reverse),8166088291.4,2276.2,26.406400939738727,1.2816863729032963,1.0915310856909817,50.77864844309698,80,150 DMA Breakout | CMP > 200 DMA,2912.93,2222.75,
BAJFINANCE,100 SMA Breakout | DMADMA (Reverse) | DMADMA (No SL),8166088291.4,2276.2,144.70006129105428,1.5328849266110829,0.7265177730603719,51.45553587583496,90,Breakout Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,4573.67 | 3807.85 | 2419.15,1955.55 | 1644.94,
BALUFORGE,100 SMA Breakout | DMADMA (Reverse) | DMADMA (No SL),8166088291.4,2276.2,358.26453474119285,1.526763723211778,1.0597943590746757,51.560078815679255,70,Breakout Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,5274.62 | 4275.15 | 2419.15,1787.54 | 1399.03,
BANDHANBNK,100 SMA Breakout | DMADMA (Reverse) | DMADMA (No SL),8166088291.4,2276.2,1035.8283779069177,1.5825720185832617,0.6105047542357249,51.60423901240113,70,Breakout Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,5715.38 | 4568.99 | 2419.15,1685.52 | 1174.31,
BANKBARODA,100 SMA Breakout | DMADMA (Reverse) | DMADMA (No SL),8166088291.4,2276.2,741.3232684164088,1.6091474225733458,0.5723718694657923,51.59316780332743,70,Breakout Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,5602.39 | 4493.66 | 2419.15,1731.78 | 1250.15,
AWFIS,100 SMA Breakout | DMADMA (Reverse) | DMADMA (No SL),8166088291.4,2276.2,539.1127443516344,1.5351995695204848,1.046211646845125,51.58080077992303,70,Breakout Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,5486.87 | 4416.65 | 2419.15,1770.09 | 1360.55,
BANKINDIA,100 SMA Breakout | DMADMA (Reverse) | DMADMA (No SL),8166088291.4,2276.2,1469.901313030378,1.5979252011716345,0.6344841822418152,51.61015604057361,70,Breakout Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,5798.43 | 4624.36 | 2419.15,1684.97 | 1170.99,
BBOX,100 SMA Breakout | DMADMA (Reverse),8166088291.4,2276.2,132.68080756452846,1.4919303426709782,1.0448453558556778,51.45610440035298,80,Breakout Buy | 150 DMA Breakout | CMP > 200 DMA,4527.83 | 3777.29,1831.97 | 1400.26,
BELRISE,100 SMA Breakout | DMADMA (Reverse) | DMADMA (No SL),8166088291.4,2276.2,947.588371128472,1.6014941372974107,0.7770801705852254,51.60176826534945,70,Breakout Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,5688.16 | 4550.84 | 2419.15,1693.33 | 1182.69,
BEL,100 SMA Breakout | DMADMA (Reverse) | DMADMA (No SL),8166088291.4,2276.2,441.8233675148121,1.617705836420061,0.5089818575254228,51.57027326078813,70,Breakout Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,5364.8 | 4335.27 | 2419.15,1776.25 | 1319.92,
APOLLO,100 SMA Breakout | DMADMA (Reverse) | DMADMA (No SL),8166088291.4,2276.2,452.3416564639021,1.4095616719401405,0.1930447411048908,51.5788517536965,90,Breakout Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,5432.8 | 4380.6 | 2419.15,1721.86 | 1236.23,
APOLLOHOSP,ETF Shop Method,8166088291.4,2276.2,-72.43809408488224,-0.9216955081705216,1.0875856403167328,48.0343905197588,45,Buy,,,-40.32441162051129
ARE&M,100 SMA Breakout | DMADMA (Reverse) | DMADMA (No SL),8166088291.4,2276.2,155.95412473230627,1.415056500145606,0.920558701799711,51.47718443017787,90,Breakout Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,4696.07 | 3889.45 | 2419.15,1927.45 | 1603.33,
ADANIENT,ETF Shop Method,8166088291.4,2276.2,-23.3422031263451,-1.721623482883139,0.9581942025115868,47.12719265966436,50,Buy,,,-6.737004214400591
AMBUJACEM,100 SMA Breakout | DMADMA (Reverse) | DMADMA (No SL),8166088291.4,2276.2,406.1596482572679,1.5636902087526685,0.9210197676176562,51.56496336702679,70,Breakout Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,5333.04 | 4314.09 | 2419.15,1810.14 | 1390.6,
