NSE Code,Strategy,Total Traded Value,CMP,Change %,Return Z-Score,Vol Spike (x),RSI,Tech Score,Action,Target,Stop Loss,Diff %
HDFCBANK,ETF Shop Method,75418753218.09595,744.5499877929688,-1.8585693227893596,-1.046194327899289,2.687170257746779,39.03824851375573,35,Buy,,,-3.1989669155776337
FEDERALBNK,DMADMA (Reverse) | DMADMA (No SL),69106661477.29175,288.95001220703125,0.0173133650410519,-0.020458962200258,12.562848658593309,52.46239028680043,95,150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,303.14 | 307.1,272.41,
RELIANCE,ETF Shop Method,56300983185.66162,1321.199951171875,-2.1695704426601257,-1.2520961958620809,2.586409371542572,38.80076492279122,15,Buy,,,-4.237973149539001
MCX,ETF Shop Method | DMADMA (Reverse) | DMADMA (No SL),52112980749.5,2954.5,-6.458762070603134,-2.4261652830087237,4.808363256494663,41.67777751995789,60,Buy | 150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,3192.04 | 3140.04,2435.15,-7.253500701480918
NETWEB,DMADMA (Reverse) | DMADMA (No SL),49615638463.4541,4670.7001953125,14.70285351946218,3.076181620193688,5.85684336013471,73.17001742345562,78,150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,5110.75 | 4964.02,3446.79,
NATIONALUM,DMADMA (Reverse) | DMADMA (No SL),45726226471.37,424.4500122070313,-1.9859082850382048,-1.171801759094994,8.511563729223495,57.52106484050648,95,150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,452.61 | 451.11,345.36,
COALINDIA,DMADMA (Reverse) | DMADMA (No SL),44784427192.25208,457.8999938964844,-1.1121896193175056,-0.8227270677568584,5.104394217516367,48.85184055453743,55,150 DMA Breakout | CMP > 200 DMA | 50 DMA Breakout | CMP > 200 DMA,485.62 | 486.66,421.82,
BAJFINANCE,ETF Shop Method,42448930203.75,908.25,-2.4593270486646466,-0.2657017279536497,6.588672070545243,45.05681942849903,30,Buy,,,-50.22714949200496
HINDUNILVR,ETF Shop Method,38117165350.0,2153.5,-2.042390117279458,-1.509089938623947,8.276762333106985,38.02303969885529,20,Buy,,,-4.201178810397717
TCS,ETF Shop Method,36885714298.26514,2258.89990234375,-1.1076109521473891,-0.5847762575372889,3.718877463001248,37.43598936229293,35,Buy,,,-2.3096164521327416
M&M,ETF Shop Method,34713314392.27197,3045.60009765625,-2.434648821835381,-1.321348414602591,3.613211077322292,42.37790845718642,30,Buy,,,-3.527746839836582
ATGL,ETF Shop Method,34620970652.586,773.2999877929688,-4.359656240453231,-0.357262483185026,4.30025394932944,45.53538780949633,30,Buy,,,-55.67541600874001
WOCKPHARMA,RDX Indicator | DMADMA (No SL),26752739981.32361,2031.4000244140625,14.703558690799689,2.6344596751046634,3.4612075233495903,82.03184832815883,83,Explosive Buy | 50 DMA Breakout | CMP > 200 DMA,2209.91 | 2158.97,1897.52,
POWERGRID,ETF Shop Method | DMADMA (Reverse),22484169547.26062,290.54998779296875,-3.198402898127818,-1.9939638631293093,5.942259119217133,36.174256366536746,30,Buy | 150 DMA Breakout | CMP > 200 DMA,305.51,284.9,-4.649391514484251
SBIN,RDX Indicator | ETF Shop Method,21497175734.207157,964.4000244140624,-0.3513084750765226,0.0227141879895684,1.24134993723632,39.66199780902118,35,Explosive Sell | Buy,1008.65,931.21,-2.054274828865187
